BP-RP,G,ra,dec
3.13929,17.3768,57.203332,23.413188
2.47409,15.2904,57.242943,23.094028
2.17329,14.5274,57.254285,22.980218
3.31059,17.8537,57.254846,23.637483
1.01359,11.4698,57.259816,23.252245
2.81519,16.1017,57.274753,23.105924
2.75169,16.0378,57.296061,24.347405
0.763686,10.3029,57.298986,24.636388
1.77419,13.6552,57.301374,23.228147
1.33229,12.4656,57.3359,24.776469
3.15029,17.7185,57.338624,24.694534
2.73749,15.8142,57.339623,23.651585
3.13919,17.5792,57.356537,22.312215
3.07319,17.3402,57.356765,23.047114
2.93259,16.6994,57.365006,24.403643
0.963986,11.1596,57.369855,23.711986
3.07219,17.5501,57.384095,23.271505
2.82959,16.3257,57.385638,23.928302
0.546186,9.0273,57.38645,23.38021
2.53449,15.3805,57.387746,24.533839
0.845186,10.7479,57.38809,23.795202
0.907086,10.9291,57.414261,23.289915
1.14809,11.9077,57.426242,24.462806
0.983786,11.3411,57.459921,23.705395
2.88279,16.4141,57.460005,20.966523
3.24029,17.7321,57.490214,23.724328
2.67069,15.7623,57.509138,23.862229
3.12449,17.5619,57.520907,23.304644
3.04959,16.965,57.561544,25.42483
2.82579,16.2298,57.563675,24.226549
0.637286,9.5184,57.573729,25.37937
0.990086,11.1654,57.588861,23.096151
2.91809,16.5688,57.614029,23.379019
1.17349,11.7335,57.648933,25.426315
2.85549,16.3488,57.655949,22.468754
2.51689,15.4167,57.662226,23.217234
0.735686,10.1567,57.667055,23.932851
3.07709,17.5529,57.671761,25.658314
1.22729,12.2042,57.714439,23.328875
3.09209,17.5628,57.763736,23.583234
1.88559,13.8658,57.766387,22.404551
3.14039,17.5492,57.799581,23.745218
1.98509,14.0959,57.800394,23.932437
2.73419,15.8185,57.807797,25.386309
2.00669,14.1244,57.816002,23.282079
2.89129,16.3727,57.819332,21.059541
1.19599,12.096,57.820368,23.826406
1.77029,13.6207,57.842328,25.165935
1.42499,12.7481,57.849546,22.113191
2.48769,15.4057,57.849633,25.097811
2.57119,15.4383,57.9632,23.294613
3.22339,17.6275,57.964861,23.580178
2.87819,16.3134,57.964922,21.821217
2.73959,15.8665,57.966331,21.822571
1.42339,12.7206,57.989005,23.339228
2.94629,16.9801,58.014999,25.020315
2.45929,15.1231,58.023302,22.581858
2.96999,16.6367,58.046827,20.875829
2.97279,16.5643,58.073177,24.455333
2.54199,15.2256,58.102514,21.506115
2.59379,15.6258,58.130804,25.251941
2.85429,16.2008,58.162198,25.84025
2.94419,16.8478,58.180228,24.466117
3.04599,17.1907,58.185402,24.34969
1.60169,13.2577,58.189058,25.279666
2.73649,15.7956,58.215558,22.525611
2.46989,15.2116,58.237435,22.433517
1.81789,13.7607,58.246518,24.901349
3.24579,17.6086,58.280425,25.78916
0.959486,11.1627,58.348869,24.064843
1.94659,13.992,58.429313,20.833286
3.01239,16.8085,58.547943,25.31174
0.653786,9.5906,58.590037,24.075495
0.929086,10.8423,58.605251,24.35989
0.874186,10.7565,58.616057,21.389542
3.28389,18.0395,58.617213,23.943202
1.74239,13.5971,58.618639,24.320937
2.25169,14.6421,58.645057,21.883717
3.28399,18.0924,58.663126,24.598339
2.66509,15.6721,58.787454,24.083907
2.63739,15.5033,58.806862,19.504499
1.30009,12.3209,58.993429,24.54974
2.29099,14.7547,59.077541,23.964221
2.71649,15.8527,59.093022,21.1212
2.06929,14.3764,59.104177,23.0906
2.00169,14.1948,59.108108,24.280801
2.87929,16.5642,59.120494,24.031565
1.31719,12.3627,59.320268,24.008997
1.10479,11.829,59.388882,24.052993
2.62089,15.4766,59.39702,22.985428
2.94249,16.5508,59.429107,25.385082
3.14519,17.2164,59.508254,23.898344
2.91359,16.4649,59.604825,24.01613
3.10849,17.283,59.642484,22.669624
1.85989,13.7666,59.84548,22.571176
1.49769,12.844,59.864777,23.123594
2.82569,16.1267,60.358618,21.585603
2.87509,16.6285,61.145027,22.046073
