BP-RP,G,ra,dec
2.85814,16.9456,133.38746,20.248209
3.04464,18.6492,127.10259,20.464919
3.02454,18.2288,127.70197,21.612509
2.69094,18.3905,129.59522,21.433422
3.00174,17.8237,127.67726,19.375186
2.90544,17.4663,131.97418,19.131441
3.26414,19.4248,127.8743,21.44405
3.01664,17.6036,131.04869,16.542345
1.57054,13.5464,126.87757,20.218224
3.07704,18.1183,130.35827,21.573632
3.06654,18.185,131.42014,18.582554
